Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
2/10/02,Buick Invitational,T22,72,67,74,70,--,283,-5,--,--
2/24/02,Touchstone Energy Tucson Open,T50,70,68,69,72,--,279,-9,--,--
3/10/02,The Honda Classic,T54,68,66,73,73,--,280,-8,--,--
7/21/02,British Open Championship,CUT,72,78,--,--,--,150,8,--,--
08/04/02,The INTERNATIONAL Presented by Qwest,W/D,--,--,--,--,--,-9,--,--,--
8/18/02,PGA Championship,CUT,85,74,--,--,--,159,15,--,--
12/15/02,World Golf Championships-EMC World Cup *,T3,65,63,62,68,--,258,-30,--,--
02/04/01,AT&T Pebble Beach National Pro-Am,CUT,76,76,71,--,--,223,7,--,--
3/11/01,Honda Classic,CUT,73,73,--,--,--,146,2,--,--
9/30/01,Texas Open at LaCantera,T45,71,69,68,71,--,279,-5,--,--
11/18/01,World Golf Championships-EMC World Cup *,T5,65,72,63,67,--,267,-21,--,--
