Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
8/26/12,The Barclays,T24,67,70,75,71,--,283,-1,18,208
09/03/12,Deutsche Bank Championship,T74,71,72,72,76,--,291,7,18,5
09/09/12,BMW Championship,T41,67,70,73,74,--,284,-4,18,143
9/23/12,TOUR Championship by Coca-Cola,T23,71,68,72,76,--,287,7,18,235
12/02/12,World Challenge presented by Northwestern Mutual *,T4,73,67,70,69,--,279,-9,--,--
12/09/12,Franklin Templeton Shootout *,T9,66,67,63,--,--,196,-20,--,--
1/30/11,Farmers Insurance Open,T20,65,71,73,74,--,283,-5,79,49
02/06/11,Waste Management Phoenix Open,T13,70,62,69,70,--,271,-13,47,56
2/20/11,Northern Trust Open,T35,74,71,68,70,--,283,-1,51,32
2/27/11,World Golf Championships-Accenture Match Play Championship,T9,--,--,--,--,--,--,--,39,68
03/06/11,The Honda Classic,CUT,76,72,--,--,--,148,8,48,--
3/13/11,World Golf Championships-Cadillac Championship,8,71,73,68,66,--,278,-10,34,89
3/27/11,Arnold Palmer Invitational presented by MasterCard,T30,69,71,70,78,--,288,E,34,38
4/10/11,Masters Tournament,T38,70,69,76,74,--,289,1,39,32
4/24/11,The Heritage,CUT,74,73,--,--,--,147,5,55,--
05/01/11,Zurich Classic of New Orleans,T26,70,72,68,73,--,283,-5,46,39
05/08/11,Wells Fargo Championship,T16,68,72,68,71,--,279,-9,38,53
5/15/11,THE PLAYERS Championship,CUT,77,68,--,--,--,145,1,40,--
5/22/11,Crowne Plaza Invitational at Colonial,T16,63,69,73,71,--,276,-4,40,48
06/05/11,the Memorial Tournament presented by Nationwide Insurance,T22,68,73,74,69,--,284,-4,42,46
6/19/11,U.S. Open,CUT,74,73,--,--,--,147,5,48,--
07/03/11,AT&T National,T13,68,69,64,74,--,275,-5,49,59
7/17/11,The Open Championship,T5,70,70,68,72,--,280,E,41,110
7/24/11,RBC Canadian Open,T22,69,69,74,71,--,283,3,39,46
08/07/11,World Golf Championships-Bridgestone Invitational,T2,68,64,69,66,--,267,-13,25,258
8/14/11,PGA Championship,T51,74,69,75,68,--,286,6,27,18
8/28/11,The Barclays,T52,71,67,68,--,--,206,-7,28,83
09/05/11,Deutsche Bank Championship,T52,68,67,70,77,--,282,-2,28,88
9/18/11,BMW Championship,48,69,72,75,72,--,288,4,28,115
10/16/11,The McGladrey Classic,CUT,73,70,--,--,--,143,3,--,--
12/04/11,Chevron World Challenge *,T6,71,70,75,71,--,287,-1,--,--
12/11/11,Franklin Templeton Shootout *,T6,65,63,62,--,--,190,-26,--,--
1/17/10,Sony Open in Hawaii,CUT,75,72,--,--,--,147,7,--,--
1/24/10,Bob Hope Classic,CUT,74,70,75,75,--,294,6,--,--
1/31/10,Farmers Insurance Open,T5,67,70,70,70,--,277,-11,43,96
02/07/10,Northern Trust Open,CUT,71,75,--,--,--,146,4,60,--
2/14/10,AT&T Pebble Beach National Pro-Am,T27,67,71,71,70,--,279,-7,45,41
