,0,1,2
0,216,2.1226145357143122e-63,2.1226145357143122e-63
1,217,1.666131588244541e-59,1.6663438496981124e-59
2,218,5.924381593935559e-56,5.926047937785257e-56
3,219,1.2616710927278626e-52,1.262263697521641e-52
4,220,1.793307612972042e-49,1.7945698766695638e-49
5,221,1.795646979937866e-46,1.7974415498145355e-46
6,222,1.3043068387515568e-43,1.3061042803013714e-43
7,223,6.98370841227969e-41,6.996769455082704e-41
8,224,2.7795651188264626e-38,2.786561888281545e-38
9,225,8.258007316670466e-36,8.285872935553283e-36
10,226,1.8355178861103943e-33,1.8438037590459476e-33
11,227,3.056714501008737e-31,3.0751525385991963e-31
12,228,3.818513423101449e-29,3.849264948487441e-29
13,229,3.5834261281447974e-27,3.6219187776296715e-27
14,230,2.531152534680889e-25,2.5673717224571856e-25
15,231,1.3492066780934107e-23,1.3748803953179827e-23
16,232,5.445543179411128e-22,5.583031218942927e-22
17,233,1.6717140992187317e-20,1.727544411408161e-20
18,234,3.9272000400480405e-19,4.099954481188857e-19
19,235,7.116977674158772e-18,7.526973122277658e-18
20,236,1.0053923436308526e-16,1.0806620748536292e-16
21,237,1.1220600444164373e-15,1.2301262519018003e-15
22,238,1.0059553445984768e-14,1.1289679697886568e-14
23,239,7.389471276688774e-14,8.518439246477432e-14
24,240,4.5465086371576787e-13,5.398352561805422e-13
25,241,2.396811040937959e-12,2.9366462971185013e-12
26,242,1.1063194987862008e-11,1.3999841284980509e-11
27,243,4.558127293947763e-11,5.958111422445813e-11
28,244,1.703937649007811e-10,2.2997487912523924e-10
29,245,5.857553113049199e-10,8.157301904301591e-10
30,246,1.8717051020728208e-09,2.6874352925029798e-09
31,247,5.606357159487677e-09,8.293792451990657e-09
32,248,1.584621527128415e-08,2.4140007723274805e-08
33,249,4.24879045175324e-08,6.662791224080721e-08
34,250,1.0853245656726802e-07,1.7516036880807523e-07
35,251,2.6505713130732106e-07,4.4021750011539627e-07
36,252,6.206897231499344e-07,1.0609072232653307e-06
37,253,1.3970838154959899e-06,2.4579910387613207e-06
38,254,3.0288013628888444e-06,5.486792401650165e-06
39,255,6.335333993225375e-06,1.182212639487554e-05
40,256,1.2804299931320041e-05,2.4626426326195583e-05
41,257,2.503646990399146e-05,4.966289623018704e-05
42,258,4.7411610338300445e-05,9.707450656848749e-05
43,259,8.703360392254873e-05,0.00018410811049103624
44,260,0.00015499578712397768,0.0003391038976150139
45,261,0.000267963178557136,0.00060706707617215
46,262,0.00044999035048459674,0.0010570574266567467
47,263,0.000734378812457927,0.0017914362391146738
48,264,0.0011652334591152685,0.002956669698229942
49,265,0.0017982300123923292,0.004754899710622271
50,266,0.0026999885776615136,0.007454888288283785
51,267,0.00394542259780752,0.011400310886091305
52,268,0.005612565300261928,0.017012876186353235
53,269,0.007774676421934857,0.02478755260828809
54,270,0.010489922202381392,0.03527747481066948
55,271,0.013789584709284968,0.04906705951995445
56,272,0.01766637637537129,0.06673343589532574
57,273,0.02206486161627919,0.08879829751160492
58,274,0.026876169342507136,0.11567446685411206
59,275,0.03193882328042574,0.1476132901345378
60,276,0.03704657426502773,0.18465986439956553
61,277,0.04196299515542922,0.22662285955499475
62,278,0.046441353784510885,0.27306421333950565
63,279,0.050247057387783546,0.3233112707272892
64,280,0.05317946094306225,0.37649073167035146
65,281,0.055090067541473504,0.43158079921182496
66,282,0.05589470219456817,0.4874755014063931
67,283,0.055578367658483376,0.5430538690648765
68,284,0.05419292101821633,0.5972467900830929
69,285,0.05184858755480792,0.6490953776379008
70,286,0.04870088357699365,0.6977962612148945
71,287,0.04493500133376833,0.7427312625486628
72,288,0.040749550954612926,0.7834808135032758
73,289,0.03634111922929848,0.8198219327325743
74,290,0.031891006222687514,0.8517129389552618
75,291,0.027555166355131288,0.8792681053103931
76,292,0.023457768246861768,0.9027258735572549
77,293,0.01968851254989967,0.9224143861071545
78,294,0.016303492599308064,0.9387178787064626
79,295,0.013328756146008182,0.9520466348524708
80,296,0.010765545625763415,0.9628121804782341
81,297,0.00859631555365753,0.9714084960318916
82,298,0.006790618727869947,0.9781991147597615
83,299,0.005310233560877909,0.9835093483206394
84,300,0.0041133802806518766,0.9876227286012913
85,301,0.0031579944579812,0.9907807230592725
86,302,0.0024040640643172287,0.9931847871235897
87,303,0.0018151957440461506,0.9949999828676359
88,304,0.0013595260354197572,0.9963595089030557
89,305,0.0010100043393835286,0.9973695132424392
90,306,0.0007442006110854549,0.9981137138535247
91,307,0.000543839379934541,0.9986575532334592
92,308,0.00039418717682035984,0.9990517404102796
93,309,0.00028343667978190473,0.9993351770900615
94,310,0.00020220271199206281,0.9995373798020536
95,311,0.00014311685590848215,0.9996804966579621
96,312,0.00010047879326934447,0.9997809754512315
97,313,6.99552151263777e-05,0.9998509306663579
98,314,4.830126710757969e-05,0.9998992319334654
99,315,3.309748349089002e-05,0.9999323294169563
100,316,2.2536295487827832e-05,0.9999548657124442
101,317,1.5269754793321556e-05,0.9999701354672375
102,318,1.0301161841810229e-05,0.9999804366290793
103,319,6.909965718900422e-06,0.9999873465947983
104,320,4.595311512663593e-06,0.9999919419063109
105,321,3.0204219193522098e-06,0.9999949623282303
106,322,1.959682692724333e-06,0.9999969220109229
107,323,1.258129167556986e-06,0.9999981801400905
108,324,8.041536264004112e-07,0.9999989842937168
109,325,5.144334017647372e-07,0.9999994987271186
110,326,3.2882232355385024e-07,0.9999998275494422
111,327,2.0784104697002207e-07,1.0000000353904892
112,328,1.2802225771264557e-07,1.000000163412747
113,329,7.620014005299894e-08,1.0000002396128869
