,0,1,2
0,216,6.341923020571354e-37,6.341923020571354e-37
1,217,4.543165249828525e-34,4.549507172849096e-34
2,218,1.4773707440432335e-31,1.4819202512160826e-31
3,219,2.88332608170515e-29,2.898145284217311e-29
4,220,3.76371285086755e-27,3.7926943037097225e-27
5,221,3.4683153143981645e-25,3.5062422574352617e-25
6,222,2.3234756589108014e-23,2.3585380814851542e-23
7,223,1.1497864657640506e-21,1.173371846578902e-21
8,224,4.237890913247344e-20,4.355228097905234e-20
9,225,1.1680777969271842e-18,1.2116300779062366e-18
10,226,2.4122803236305952e-17,2.533443331421219e-17
11,227,3.736772003633123e-16,3.990116336775245e-16
12,228,4.346139426442434e-15,4.745151060119958e-15
13,229,3.801337376278473e-14,4.2758524822904683e-14
14,230,2.5082998114868163e-13,2.935885059715863e-13
15,231,1.2568034284635995e-12,1.5503919344351857e-12
16,232,4.848550421045336e-12,6.398942355480521e-12
17,233,1.483833303003612e-11,2.1237275385516643e-11
18,234,3.8258714677926605e-11,5.949599006344325e-11
19,235,9.145326269254981e-11,1.5094925275599308e-10
20,236,2.2103482968162156e-10,3.7198408243761464e-10
21,237,5.447491520647607e-10,9.167332345023754e-10
22,238,1.3080907260391971e-09,2.2248239605415726e-09
23,239,2.9810737632855566e-09,5.205897723827129e-09
24,240,6.497301510913818e-09,1.1703199234740947e-08
25,241,1.3783629758921902e-08,2.5486828993662847e-08
26,242,2.8719274373232384e-08,5.420610336689523e-08
27,243,5.8794992867214416e-08,1.1300109623410965e-07
28,244,1.1813925255411907e-07,2.3114034878822873e-07
29,245,2.3297210981568627e-07,4.64112458603915e-07
30,246,4.508020621692296e-07,9.149145207731446e-07
31,247,8.55475139127639e-07,1.7703896599007836e-06
32,248,1.5922975390639085e-06,3.362687198964692e-06
33,249,2.9102327104930104e-06,6.2729199094577025e-06
34,250,5.230221424685894e-06,1.1503141334143597e-05
35,251,9.250337540190464e-06,2.0753478874334063e-05
36,252,1.6102159403988123e-05,3.685563827832219e-05
37,253,2.757924524205407e-05,6.443488352037626e-05
38,254,4.646415884815362e-05,0.00011089904236852988
39,255,7.698232298264782e-05,0.00018788136535117768
40,256,0.0001254128900702817,0.00031329425542145936
41,257,0.00020089004210563577,0.0005141842975270952
42,258,0.00031641823994398314,0.0008306025374710783
43,259,0.0004900809761369955,0.0013206835136080738
44,260,0.0007463462124415547,0.0020670297260496286
45,261,0.0011172847616045891,0.003184314487654218
46,262,0.0016434317023251222,0.00482774618997934
47,263,0.002373933996774576,0.007201680186753916
48,264,0.0033655588714094106,0.010567239058163327
49,265,0.004680151057515304,0.015247390115678631
50,266,0.006380277923668189,0.02162766803934682
51,267,0.008523064160063891,0.03015073219941071
52,268,0.011152515493072869,0.04130324769248358
53,269,0.014290941474812397,0.05559418916729598
54,270,0.01793044021330984,0.07352462938060582
55,271,0.022025731995376455,0.09555036137598227
56,272,0.026489735189590434,0.12204009656557271
57,273,0.031193059936409615,0.15323315650198233
58,274,0.03596813897090019,0.1892012954728825
59,275,0.04061816208457784,0.22981945755746033
60,276,0.044930365413204915,0.27474982297066525
61,277,0.048692514331433796,0.32344233730209904
62,278,0.05171072738029011,0.3751530646823891
63,279,0.053826436155320324,0.42897950083770947
64,280,0.05493041456354141,0.4839099154012509
65,281,0.05497224326292068,0.5388821586641716
66,282,0.05396408974132171,0.5928462484054933
67,283,0.051978319564544975,0.6448245679700383
68,284,0.049139301831239664,0.693963869801278
69,285,0.04561068276179217,0.7395745525630701
70,286,0.04158002602096284,0.781154578584033
71,287,0.03724282923062973,0.8183974078146627
72,288,0.032787647957741,0.8511850557724038
73,289,0.028383677198465206,0.879568732970869
74,290,0.024171762432904597,0.9037404954037737
75,291,0.020259349630688768,0.9239998450344624
76,292,0.01671930774699216,0.9407191527814546
77,293,0.013592005153907736,0.9543111579353623
78,294,0.01088966750836949,0.9652008254437318
79,295,0.008601983164982967,0.9738028086087147
80,296,0.006702098568972845,0.9805049071776876
81,297,0.00515238609686094,0.9856572932745485
82,298,0.003909542107133135,0.9895668353816817
83,299,0.002928709454245916,0.9924955448359276
84,300,0.0021664906651332684,0.9946620355010609
85,301,0.0015829076326367164,0.9962449431336976
86,302,0.0011424952447920708,0.9973874383784896
87,303,0.0008147544404968082,0.9982021928189865
88,304,0.0005741608466254088,0.9987763536656119
89,305,0.0003998741761940702,0.9991762278418059
90,306,0.0002752562611690131,0.9994514841029749
91,307,0.00018728955917366412,0.9996387736621486
92,308,0.0001259751894269039,0.9997647488515755
93,309,8.376602338862772e-05,0.9998485148749642
94,310,5.5062264345758854e-05,0.9999035771393099
95,311,3.577780827850811e-05,0.9999393549475883
96,312,2.29778163658201e-05,0.9999623327639542
97,313,1.4584955997711991e-05,0.9999769177199519
98,314,9.148939848833527e-06,0.9999860666598007
99,315,5.670962268261758e-06,0.9999917376220689
100,316,3.4728089550853293e-06,0.999995210431024
101,317,2.100566781127173e-06,0.9999973109978052
102,318,1.254646488224938e-06,0.9999985656442935
103,319,7.398593713592836e-07,0.9999993055036648
104,320,4.3064076462103615e-07,0.9999997361444294
105,321,2.4731113436041357e-07,0.9999999834555637
106,322,1.400471224472126e-07,1.000000123502686
107,323,7.814718582880955e-08,1.000000201649872
108,324,4.29446562671634e-08,1.0000002445945282
109,325,2.3230607110268614e-08,1.0000002678251354
110,326,1.2362806713526373e-08,1.0000002801879422
111,327,6.46586732214666e-09,1.0000002866538096
112,328,3.3184221720496557e-09,1.0000002899722318
113,329,1.6688036318247717e-09,1.0000002916410353
