,0,1,2
0,216,3.549093843707889e-66,3.549093843707889e-66
1,217,1.0088107509821223e-62,1.0091656603664931e-62
2,218,1.4064116264666178e-59,1.4074207921269843e-59
3,219,1.2654695878988577e-56,1.2668770086909847e-56
4,220,8.184480477288253e-54,8.197149247375162e-54
5,221,4.022105266844629e-51,4.030302416092004e-51
6,222,1.55123765360057e-48,1.555267956016662e-48
7,223,4.789545680880238e-46,4.805098360440405e-46
8,224,1.1986307317657438e-43,1.2034358301261841e-43
9,225,2.4499767615457247e-41,2.4620111198469867e-41
10,226,4.108491785280277e-39,4.1331118964787463e-39
11,227,5.6668979851834504e-37,5.7082291041482375e-37
12,228,6.437766379575801e-35,6.494848670617283e-35
13,229,6.027750343494643e-33,6.092698830200816e-33
14,230,4.65344480352496e-31,4.7143717918269676e-31
15,231,2.962881059137496e-29,3.0100247770557656e-29
16,232,1.5563172223686032e-27,1.5864174701391608e-27
17,233,6.746638547007405e-26,6.905280294021321e-26
18,234,2.4149694783855934e-24,2.4840222813258066e-24
19,235,7.143403704893152e-23,7.391805933025733e-23
20,236,1.74806289265101e-21,1.8219809519812673e-21
21,237,3.5447012108031864e-20,3.726899306001313e-20
22,238,5.970396309868276e-19,6.343086240468407e-19
23,239,8.381072182026032e-18,9.015380806072873e-18
24,240,9.852220876537394e-17,1.0753758957144681e-16
25,241,9.76176693379316e-16,1.0837142829507628e-15
26,242,8.222306872344053e-15,9.306021155294816e-15
27,243,5.950630832956392e-14,6.881232948485874e-14
28,244,3.7466261366513194e-13,4.434749431499907e-13
29,245,2.0798418567265762e-12,2.5233167998765667e-12
30,246,1.0314119152217039e-11,1.2837435952093606e-11
31,247,4.623767005304674e-11,5.907510600514036e-11
32,248,1.8928403720448537e-10,2.4835914320962575e-10
33,249,7.135891952696995e-10,9.619483384793252e-10
34,250,2.494927926747217e-09,3.4568762652265424e-09
35,251,8.137990241409348e-09,1.159486650663589e-08
36,252,2.4888814496259924e-08,3.648368100289581e-08
37,253,7.16768404786917e-08,1.0816052148158751e-07
38,254,1.9509518508938863e-07,3.0325570657097614e-07
39,255,5.035096650047382e-07,8.067653715757144e-07
40,256,1.2356491177745289e-06,2.0424144893502435e-06
41,257,2.890691553866116e-06,4.93310604321636e-06
42,258,6.4610612308980015e-06,1.1394167274114361e-05
43,259,1.3825415231455059e-05,2.5219582505569418e-05
44,260,2.837362173266418e-05,5.35932042382336e-05
45,261,5.594060862601625e-05,0.00010953381286424985
46,262,0.0001061112431267097,0.00021564505599095955
47,263,0.0001939116140230128,0.00040955667001397236
48,264,0.0003418128889631745,0.0007513695589771469
49,265,0.0005818399394953617,0.0013332094984725086
50,266,0.0009574107295303881,0.0022906202280028967
51,267,0.001524365605153452,0.0038149858331563485
52,268,0.0023505271031565487,0.006165512936312897
53,269,0.0035131223082719163,0.009678635244584812
54,270,0.005093563324344976,0.014772198568929789
55,271,0.00716944869105658,0.021941647259986367
56,272,0.00980418257402613,0.0317458298340125
57,273,0.01303520692948667,0.04478103676349917
58,274,0.016862391992699354,0.06164342875619852
59,275,0.021238521296288494,0.08288195005248701
60,276,0.026063862654661662,0.10894581270714868
61,277,0.031186356532328673,0.14013216923947736
62,278,0.03640807186850411,0.17654024110798147
63,279,0.04149768403990825,0.21803792514788972
64,280,0.04620802305402644,0.26424594820191616
65,281,0.05029692184096672,0.3145428700428829
66,282,0.053548614677499266,0.36809148472038217
67,283,0.05579264174048509,0.42388412646086726
68,284,0.0569181861611508,0.48080231262201806
69,285,0.056882905460906616,0.5376852180829247
70,286,0.05571529032838521,0.5934005084113099
71,287,0.053509394908150834,0.6469099033194607
72,288,0.05041246609437304,0.6973223694138337
73,289,0.04660869439154297,0.7439310638053767
74,290,0.04230273958439576,0.7862338033897724
75,291,0.03770428542576487,0.8239380888155373
76,292,0.03301314719500924,0.8569512360105466
77,293,0.028405725026516462,0.8853569610370631
78,294,0.024025478100736276,0.9093824391377994
79,295,0.019979242175411874,0.9293616813132113
80,296,0.0163382861233498,0.945699967436561
81,297,0.013141456438723437,0.9588414238752845
82,298,0.010398945142611303,0.9692403690178958
83,299,0.008097024615469935,0.9773373936333657
84,300,0.006204211799962548,0.9835416054333282
85,301,0.004678050234045918,0.9882196556673741
86,302,0.003470964651388586,0.9916906203187628
87,303,0.002534341658100984,0.9942249619768637
88,304,0.0018211686714217626,0.9960461306482855
89,305,0.0012879629360916442,0.9973340935843772
90,306,0.0008962631322907687,0.9982303567166679
91,307,0.0006134753793619627,0.9988438320960299
92,308,0.0004129181802144901,0.9992567502762444
93,309,0.00027327182525766977,0.9995300221015021
94,310,0.00017782029327767412,0.9997078423947797
95,311,0.00011373952077078774,0.9998215819155505
96,312,7.14618383795074e-05,0.99989304375393
97,313,4.405824359056603e-05,0.9999371019975205
98,314,2.6631807208403208e-05,0.9999637338047289
99,315,1.5777958909942317e-05,0.9999795117636389
100,316,9.161454560846189e-06,0.9999886732181997
101,317,5.210918218406499e-06,0.9999938841364181
102,318,2.8982339939526e-06,0.999996782370412
103,319,1.5716363255251868e-06,0.9999983540067375
104,320,8.284698096262711e-07,0.9999991824765472
105,321,4.238107528096949e-07,0.9999996062873
106,322,2.1036580349231238e-07,0.9999998166531034
107,323,1.0128861230422722e-07,0.9999999179417157
108,324,4.713823905875528e-08,0.9999999650799548
109,325,2.1004275465969893e-08,0.9999999860842302
110,326,8.824322939749169e-09,0.9999999949085532
111,327,3.4297970252200277e-09,0.9999999983383502
112,328,1.2094868588497284e-09,0.999999999547837
113,329,3.800823368897696e-10,0.9999999999279193
114,330,1.0479788299262269e-10,1.0000000000327172
115,331,2.5026191910382566e-11,1.0000000000577434
116,332,5.121572549682994e-12,1.000000000062865
117,333,8.905909150237898e-13,1.0000000000637557
118,334,1.307029306783818e-13,1.0000000000638865
119,335,1.6103683134521385e-14,1.0000000000639027
120,336,1.6588735777676485e-15,1.0000000000639042
121,337,1.4242089133847922e-16,1.0000000000639044
122,338,1.0165994266047481e-17,1.0000000000639044
123,339,6.021867450615191e-19,1.0000000000639044
124,340,2.955933844861835e-20,1.0000000000639044
125,341,1.2010440829421958e-21,1.0000000000639044
126,342,4.035956692077772e-23,1.0000000000639044
127,343,1.1208564358050995e-24,1.0000000000639044
128,344,2.570951090142386e-26,1.0000000000639044
129,345,4.867200868321909e-28,1.0000000000639044
130,346,7.59791558332606e-30,1.0000000000639044
131,347,9.764827589880732e-32,1.0000000000639044
132,348,1.0304243206082939e-33,1.0000000000639044
133,349,8.886471512910092e-36,1.0000000000639044
134,350,6.215051115483204e-38,1.0000000000639044
135,351,3.4812812616500995e-40,1.0000000000639044
136,352,1.5309240438417223e-42,1.0000000000639044
137,353,5.117116165912811e-45,1.0000000000639044
138,354,1.229741373522712e-47,1.0000000000639044
139,355,1.9078462383927901e-50,1.0000000000639044
140,356,1.4520484572831277e-53,1.0000000000639044
141,357,0.0,1.0000000000639044
142,358,0.0,1.0000000000639044
143,359,0.0,1.0000000000639044
