Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
10/19/14,Shriners Hospitals for Children Open,T7,68,65,70,67,--,270,-14,10,85
10/26/14,The McGladrey Classic,T14,71,67,67,66,--,271,-9,8,56
11/09/14,Sanderson Farms Championship,CUT,73,72,--,--,--,145,1,15,--
11/16/14,OHL Classic at Mayakoba,T7,65,72,70,65,--,272,-12,14,88
01/18/15,Sony Open in Hawaii,CUT,70,69,--,--,--,139,-1,22,--
01/25/15,Humana Challenge in partnership with the Clinton Foundation,T59,71,65,68,74,--,278,-10,24,10
2/1/15,Waste Management Phoenix Open,T22,72,68,70,67,--,277,-7,24,48
2/8/15,Farmers Insurance Open,T24,73,68,70,74,--,285,-3,23,46
02/22/15,Northern Trust Open,T56,70,70,77,73,--,290,6,26,13
03/01/15,The Honda Classic,CUT,74,73,--,--,--,147,7,31,--
3/15/15,Valspar Championship,CUT,73,78,--,--,--,151,9,41,--
3/22/15,Arnold Palmer Invitational presented by MasterCard,CUT,70,73,--,--,--,143,-1,48,--
3/29/15,Valero Texas Open,T68,79,69,76,77,--,301,13,51,2
4/5/15,Shell Houston Open,T42,69,68,77,68,--,282,-6,48,26
04/19/15,RBC Heritage,CUT,73,71,--,--,--,144,2,60,--
04/26/15,Zurich Classic of New Orleans,CUT,72,76,--,--,--,148,4,67,--
5/17/15,Wells Fargo Championship,T16,73,67,70,70,--,280,-8,67,54
5/24/15,Crowne Plaza Invitational at Colonial,T19,67,72,66,68,--,273,-7,61,50
5/31/15,AT&T Byron Nelson,T10,67,64,68,68,--,267,-10,55,64
6/7/15,the Memorial Tournament presented by Nationwide,T8,71,66,73,67,--,277,-11,49,80
06/21/15,U.S. Open,T14,69,68,74,71,--,282,2,46,60
6/28/15,Travelers Championship,T25,68,69,66,70,--,273,-7,41,40
7/5/15,The Greenbrier Classic,T13,68,67,68,67,--,270,-10,38,54
7/12/15,John Deere Classic,CUT,67,72,--,--,--,139,-3,40,--
7/26/15,RBC Canadian Open,T22,71,70,73,65,--,279,-9,40,44
8/2/15,Quicken Loans National,T39,71,67,69,72,--,279,-5,40,29
08/16/15,PGA Championship,T10,71,66,69,71,--,277,-11,39,80
8/30/15,The Barclays,T16,65,69,71,70,--,275,-5,39,214
9/7/15,Deutsche Bank Championship,CUT,76,74,--,--,--,150,8,39,--
9/20/15,BMW Championship,T47,72,64,77,68,--,281,-3,39,94
1/16/11,Sony Open in Hawaii,CUT,71,71,--,--,--,142,2,--,--
07/20/08,U.S. Bank Championship in Milwaukee,CUT,72,67,--,--,--,139,-1,--,--
07/22/07,U.S. Bank Championship in Milwaukee,T70,75,65,76,72,--,288,8,--,--
