Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
8/23/92,The International,T14,--,--,--,--,--,--,--,--,--
09/06/92,Greater Milwaukee Open,CUT,70,74,--,--,--,144,E,--,--
9/27/92,B.C. Open,T13,71,63,68,76,--,278,-6,--,--
10/04/92,Buick Southern Open,T8,68,75,68,--,--,211,-5,--,--
10/11/92,Las Vegas Invitational,CUT,74,74,71,--,--,219,3,--,--
10/18/92,Walt Disney World/Oldsmobile Classic,T46,70,70,68,69,--,277,-11,--,--
10/25/92,H.E.B. Texas Open,T47,71,66,69,72,--,278,-6,--,--
1/10/91,Northern Telecom Open,1,65,71,65,71,--,272,-16,--,--
1/27/91,Phoenix Open,T32,67,70,68,70,--,275,-9,--,--
2/17/91,Shearson Lehman Brothers Open,T42,66,74,71,70,--,281,-7,--,--
03/03/91,Doral-Ryder Open,CUT,70,74,--,--,--,144,E,--,--
4/14/91,Masters Tournament,T46,69,73,74,74,--,290,2,--,--
5/19/91,Memorial Tournament,T66,75,71,77,73,--,296,8,--,--
6/16/91,U.S. Open Championship,T55,73,72,80,75,--,300,12,--,--
7/22/91,British Open Championship *,T73,77,67,73,71,--,288,8,--,--
1/14/90,Northern Telecom Tucson Open,T19,71,66,71,72,--,280,-8,--,--
6/17/90,U.S. Open Championship,T29,74,71,71,72,--,288,E,--,--
1/22/89,Phoenix Open,CUT,71,76,--,--,--,147,5,--,--
2/21/88,Shearson Lehman Hutton Andy Williams Open,CUT,74,71,--,--,--,145,1,--,--
2/28/88,Los Angeles Open Presented by Nissan,CUT,76,72,--,--,--,148,6,--,--
