Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
8/9/15,World Golf Championships-Bridgestone Invitational,T37,69,75,73,66,--,283,3,18,32
08/16/15,PGA Championship,T37,70,70,71,74,--,285,-3,19,32
08/23/15,Wyndham Championship,CUT,65,73,--,--,--,138,-2,20,--
8/30/15,The Barclays,T13,69,69,67,69,--,274,-6,20,231
9/7/15,Deutsche Bank Championship,T25,71,65,69,75,--,280,-4,20,178
09/20/15,BMW Championship,T7,72,63,70,66,--,271,-13,20,340
09/27/15,TOUR Championship by Coca-Cola,T12,69,72,69,70,--,280,E,20,
10/13/13,Frys.com Open,T3,70,66,68,66,--,270,-14,3,134
10/27/13,CIMB Classic,T25,70,68,72,74,--,284,-4,10,44
11/3/13,World Golf Championships-HSBC Champions,W/D,71,--,--,--,--,71,-1,15,--
1/26/14,Farmers Insurance Open,T16,72,72,70,69,--,283,-5,44,54
02/02/14,Waste Management Phoenix Open,T4,66,67,68,69,--,270,-14,24,123
02/16/14,Northern Trust Open,T23,70,69,69,71,--,279,-5,26,46
2/23/14,World Golf Championships-Accenture Match Play Championship,T17,--,--,--,--,--,--,--,22,47
3/2/14,The Honda Classic,W/D,70,--,--,--,--,70,E,26,--
3/9/14,World Golf Championships-Cadillac Championship,T34,72,77,71,74,--,294,6,27,35
4/13/14,Masters Tournament,CUT,80,71,--,--,--,151,7,49,--
04/20/14,RBC Heritage,CUT,71,79,--,--,--,150,8,52,--
5/4/14,Wells Fargo Championship,T38,69,72,72,73,--,286,-2,54,31
5/11/14,THE PLAYERS Championship,T23,70,71,72,70,--,283,-5,52,47
5/25/14,Crowne Plaza Invitational at Colonial,T10,69,70,64,71,--,274,-6,50,68
6/1/14,the Memorial Tournament presented by Nationwide Insurance,1,70,67,69,69,--,275,-13,14,500
6/15/14,U.S. Open,T35,69,71,74,74,--,288,8,17,34
07/20/14,The Open Championship,T39,69,74,73,71,--,287,-1,23,29
8/3/14,World Golf Championships-Bridgestone Invitational,T12,70,71,65,68,--,274,-6,23,65
8/10/14,PGA Championship,T35,71,72,70,68,--,281,-3,22,34
8/17/14,Wyndham Championship,CUT,69,70,--,--,--,139,-1,22,--
8/24/14,The Barclays,T30,68,70,72,70,--,280,-4,22,188
09/01/14,Deutsche Bank Championship,T57,73,69,68,74,--,284,E,22,55
09/07/14,BMW Championship,T20,69,67,71,69,--,276,-4,22,250
9/14/14,TOUR Championship by Coca-Cola,22,71,71,71,73,--,286,6,22,245
1/13/13,Sony Open in Hawaii,CUT,74,69,--,--,--,143,3,--,--
6/16/13,U.S. Open,T10,71,75,74,67,--,287,7,--,--
07/21/13,The Open Championship,T6,71,73,72,70,--,286,2,--,--
7/28/13,RBC Canadian Open,T16,69,69,71,70,--,279,-9,--,--
8/4/13,World Golf Championships-Bridgestone Invitational,T21,72,68,70,71,--,281,1,--,--
08/11/13,PGA Championship,T19,72,68,73,66,--,279,-1,--,--
8/18/13,Wyndham Championship,15,70,65,71,66,--,272,-8,--,--
1/15/12,Sony Open in Hawaii,CUT,71,72,--,--,--,143,3,--,--
4/8/12,Masters Tournament,T54,71,74,72,80,--,297,9,--,--
1/16/11,Sony Open in Hawaii,CUT,74,70,--,--,--,144,4,--,--
04/10/11,Masters Tournament,T27,72,73,68,74,--,287,-1,,
