Date,Tournament Name,POS,1,2,3,4,5,"Total
Score",To PAR,FedExCup Rank,FedExCup Points
8/2/15,Quicken Loans National,T4,66,71,68,67,--,272,-12,37,100
8/16/15,PGA Championship,T18,72,70,68,70,--,280,-8,36,53
8/23/15,Wyndham Championship,T56,67,68,66,75,--,276,-4,36,14
8/30/15,The Barclays,T16,71,69,68,67,--,275,-5,36,214
09/07/15,Deutsche Bank Championship,T56,72,70,69,74,--,285,1,36,54
9/20/15,BMW Championship,T13,65,67,70,71,--,273,-11,36,223
10/13/13,Frys.com Open,T72,72,70,71,--,--,213,E,--,--
11/10/13,The McGladrey Classic,CUT,73,75,--,--,--,148,8,--,--
1/19/14,Humana Challenge in partnership with the Clinton Foundation,CUT,74,64,70,--,--,208,-8,--,--
1/26/14,Farmers Insurance Open,T10,68,73,72,69,--,282,-6,--,--
02/09/14,AT&T Pebble Beach National Pro-Am,CUT,70,72,75,--,--,217,2,--,--
6/1/14,the Memorial Tournament presented by Nationwide Insurance,T37,73,68,72,72,--,285,-3,--,--
6/15/14,U.S. Open,CUT,75,73,--,--,--,148,8,--,--
6/23/13,Travelers Championship,T30,72,66,66,73,--,277,-3,--,--
7/14/13,John Deere Classic,CUT,72,67,--,--,--,139,-3,--,
07/08/12,The Greenbrier Classic,T46,67,71,66,72,--,276,-4,--,--
08/23/09,Wyndham Championship,T78,65,72,71,--,--,208,-2,--,--
